3570_5694_000004_000000|In what has been said of the evolution of the vicarious leisure class and its differentiation from the general body of the working classes, reference has been made to a further division of labour, that between the different servant classes.|In what has been said of the evolution of the vicarious leisure class and its differentiation from the general body of the working classes, reference has been made to a further division of labour, that between the different servant classes.
3570_5694_000005_000000|But already at a point in economic evolution far and dating the emergence of the lady, specialized consumption of goods as an evidence of pecuniary strength had begun to work out in a more or less elaborate system.|But already at a point in economic evolution far and dating the emergence of the lady, specialized consumption of goods as an evidence of pecuniary strength had begun to work out in a more or less elaborate system.
3570_5694_000005_000001|The beginning of a differentiation in consumption even antidates the appearance of anything that can fairly be called pecuniary strength. It is traceable back to the initial face of predator culture, and there is even a suggestion that an incipient differentiation in this respect lies back of the beginnings of the predatory life.|The beginning of a differentiation in consumption even antidates the appearance of anything that can fairly be called pecuniary strength. It is traceable back to the initial face of predator culture, and there is even a suggestion that an incipient differentiation in this respect lies back of the beginnings of the predatory life.
3570_5694_000005_000002|This most primitive differentiation in the consumption of goods is like the later differentiation with which we are also intimately familiar, in that it is largely of a ceremonial character. But unlike the latter, it does not rest on a difference in accumulated wealth.|This most primitive differentiation in the consumption of goods is like the later differentiation with which we are also intimately familiar, in that it is largely of a ceremonial character. But unlike the latter, it does not rest on a difference in accumulated wealth.
3570_5694_000005_000003|The utility of consumption as an evidence of wealth is to be classed as a derivative growth.|The utility of consumption as an evidence of wealth is to be classed as a derivative growth.
3570_5694_000005_000004|It is an adaption to a new end by a selective process of a distinction previously existing and well-established in man's habits of thought.|It is an adaption to a new end by a selective process of a distinction previously existing and well-established in man's habits of thought.
3570_5694_000006_000000|In the earlier phases of the predatory culture, the only economic differentiation is a broad distinction between an honorable superior class made up of the able-bodied men on the one side, and a base inferior class of laboring women on the other.|In the earlier phases of the predatory culture, the only economic differentiation is a broad distinction between an honorable superior class made up of the able-bodied men on the one side, and a base inferior class of laboring women on the other.
3570_5694_000006_000002|Such consumption as false to the women is merely incidental to their work. It is a means to their continued labour and not a consumption directed to their own comfort and fullness of life.|Such consumption as false to the women is merely incidental to their work. It is a means to their continued labour and not a consumption directed to their own comfort and fullness of life.
3570_5694_000006_000004|The consumption of choice articles of food and frequently also of rare articles of adornment becomes taboo to the women and children. And if there is a base, servile class of men, that taboo holds also for them.|The consumption of choice articles of food and frequently also of rare articles of adornment becomes taboo to the women and children. And if there is a base, servile class of men, that taboo holds also for them.
3570_5694_000006_000005|With a further advance in culture, this taboo made change into simple custom of a more or less rigorous character, but whatever be the theoretical basis of the distinction which is maintained, whether it be a taboo or a larger conventionality, the features of the conventional scheme of consumption do not change easily.|With a further advance in culture, this taboo made change into simple custom of a more or less rigorous character, but whatever be the theoretical basis of the distinction which is maintained, whether it be a taboo or a larger conventionality, the features of the conventional scheme of consumption do not change easily.
3570_5694_000006_000006|When the quasi-peaceable stage of industries reached, with its fundamental institution of Chattel's slavery, the general principle, more or less rigorously applied, is that the base industrialist class should consume only what may be necessary to their subsistence.|When the quasi-peaceable stage of industries reached, with its fundamental institution of Chattel's slavery, the general principle, more or less rigorously applied, is that the base industrialist class should consume only what may be necessary to their subsistence.
3570_5694_000006_000007|in the nature of things, luxuries and the comforts of life belong to the leisure class.|in the nature of things, luxuries and the comforts of life belong to the leisure class.
3570_5694_000006_000008|Under the taboo certain rituals and more particularly, certain beverages are strictly reserved for the use of the superior class.|Under the taboo certain rituals and more particularly, certain beverages are strictly reserved for the use of the superior class.
3570_5694_000007_000001|If these articles of consumption are costly, they are felt to be noble and honorific.|If these articles of consumption are costly, they are felt to be noble and honorific.
3570_5694_000007_000002|Therefore, the base classes, primarily the women, practice and enforced continents with respect to these stimulants, accepting countries where they are obtainable at a very low cost.|Therefore, the base classes, primarily the women, practice and enforced continents with respect to these stimulants, accepting countries where they are obtainable at a very low cost.
3570_5694_000007_000003|From archaic times down through all the length of the patriarchal regime, it has been the office of the women to prepare and administer these luxuries, and it has been the perquisite of the men, of gentle birth and breeding to consume them.|From archaic times down through all the length of the patriarchal regime, it has been the office of the women to prepare and administer these luxuries, and it has been the perquisite of the men, of gentle birth and breeding to consume them.
